project_code,yard_name,packing_count,source
2601008,H14,5,jeil_actual
2601008,H10,54,jeil_actual
2601008,H09,56,jeil_actual
2601008,H17,21,jeil_actual
2601008,H08,11,jeil_actual
2601008,H13,14,jeil_actual
2601008,H16,24,jeil_actual
2601008,C01,10,jeil_actual
2601008,H11,9,jeil_actual
2601009,A07,12,jeil_actual
2601010,G09,3,jeil_actual
2601010,G01,1,jeil_actual
2406047,G03,1,jeil_actual
2408003,G06,5,jeil_actual
2408003,G02,3,jeil_actual
2408003,H01,5,jeil_actual
2408005,G06,7,jeil_actual
2408005,B06,1,jeil_actual
2408005,G07,7,jeil_actual
2408005,G03,4,jeil_actual
2409024,G03,11,jeil_actual
2410049,G03,1,jeil_actual
2410049,D07,8,jeil_actual
2410049,G01,2,jeil_actual
2410049,A02,40,jeil_actual
2410049,A04,7,jeil_actual
2410054,G10,4,jeil_actual
2411039,F04,2,jeil_actual
2411039,A05,23,jeil_actual
2411039,B05,27,jeil_actual
2411039,F02,10,jeil_actual
2411040,G08,6,jeil_actual
2411047,C04,12,jeil_actual
2412044,G09,7,jeil_actual
2412044,F12,1,jeil_actual
2501026,B09,3,jeil_actual
2501026,B10,13,jeil_actual
2501026,G02,1,jeil_actual
2502023,C05,1,jeil_actual
2502044,D02,12,jeil_actual
2502044,E04,6,jeil_actual
2502044,G07,7,jeil_actual
2502044,F08,12,jeil_actual
2504035,G09,3,jeil_actual
2504050,G05,1,jeil_actual
2505001,E03,13,jeil_actual
2505058,H15,3,jeil_actual
2505058,G10,3,jeil_actual
2505058,F02,1,jeil_actual
2506036,E06,1,jeil_actual
2506036,A01,11,jeil_actual
2506036,A07,20,jeil_actual
2506036,G08,5,jeil_actual
2506036,B08,19,jeil_actual
2506044,G01,2,jeil_actual
2506044,B08,6,jeil_actual
2506044,G08,1,jeil_actual
2507007,G08,2,jeil_actual
2507007,G09,2,jeil_actual
2507033,G10,4,jeil_actual
2507036,H04,6,jeil_actual
2507036,F10,1,jeil_actual
2507036,F09,4,jeil_actual
2507036,G03,1,jeil_actual
2508005,H04,5,jeil_actual
2508005,H16,5,jeil_actual
2508005,H15,21,jeil_actual
2508021,H11,144,jeil_actual
2508021,H10,152,jeil_actual
2508048,G09,2,jeil_actual
2509014,A03,12,jeil_actual
2509014,G01,2,jeil_actual
2509016,B07,13,jeil_actual
2509016,G02,1,jeil_actual
2509028,H02,7,jeil_actual
2510011,A01,2,jeil_actual
2510034,G08,5,jeil_actual
2510034,G06,4,jeil_actual
2510035,G08,1,jeil_actual
2510035,G05,1,jeil_actual
2510035,F03,17,jeil_actual
2510035,B09,11,jeil_actual
2510035,F02,1,jeil_actual
2510036,G01,7,jeil_actual
2511002,G10,1,jeil_actual
2511002,G07,5,jeil_actual
2512002,G07,6,jeil_actual
