yard_name,capacity,distance,x,y,yard_index,sector,slot_count,normal_level,max_level,allow_fourth_level,max_stack_height_mm,is_main_sector,allow_mixed_project,is_available_default
H09,21,229.2,79,75,99,H,7,3,4,1,4000,0,1,1
H10,21,237.2,83,75,100,H,7,3,4,1,4000,0,1,1
H11,21,245.2,87,75,101,H,7,3,4,1,4000,0,1,1
H12,15,253.2,91,75,102,H,5,3,4,1,4000,0,1,1
H13,15,261.2,95,75,103,H,5,3,4,1,4000,0,1,1
H14,15,269.2,99,75,104,H,5,3,4,1,4000,0,1,1
H15,15,277.2,103,75,105,H,5,3,4,1,4000,0,1,1
H16,21,285.2,107,75,106,H,7,3,4,1,4000,0,1,1
H17,21,293.2,111,75,107,H,7,3,4,1,4000,0,1,1
H18,21,301.2,115,75,108,H,7,3,4,1,4000,0,1,1
H19,21,309.2,119,75,109,H,7,3,4,1,4000,0,1,1
J1,21,87.8,-6,16,110,J,7,3,4,1,4000,0,1,0
J2,21,90.4,-6,20,111,J,7,3,4,1,4000,0,1,0
J3,21,90.4,-6,24,112,J,7,3,4,1,4000,0,1,0
J4,21,90.4,-6,28,113,J,7,3,4,1,4000,0,1,0
J5,21,90.4,-6,32,114,J,7,3,4,1,4000,0,1,0
J6,21,90.4,-6,36,115,J,7,3,4,1,4000,0,1,0
J7,21,90.4,-6,40,116,J,7,3,4,1,4000,0,1,0
J8,21,98.4,-6,44,117,J,7,3,4,1,4000,0,1,0
J9,21,106.4,-6,48,118,J,7,3,4,1,4000,0,1,0
J10,21,114.4,-6,52,119,J,7,3,4,1,4000,0,1,0
J11,21,122.4,-6,56,120,J,7,3,4,1,4000,0,1,0
J12,21,130.4,-6,60,121,J,7,3,4,1,4000,0,1,0
J13,21,138.4,-6,64,122,J,7,3,4,1,4000,0,1,0
J14,21,146.4,-6,68,123,J,7,3,4,1,4000,0,1,0
J15,21,154.4,-6,72,124,J,7,3,4,1,4000,0,1,0
J16,21,162.4,-6,76,125,J,7,3,4,1,4000,0,1,0
J17,21,170.4,-6,80,126,J,7,3,4,1,4000,0,1,0
J18,21,178.4,-6,84,127,J,7,3,4,1,4000,0,1,0
J19,21,186.4,-6,88,128,J,7,3,4,1,4000,0,1,0
J20,21,194.4,-6,92,129,J,7,3,4,1,4000,0,1,0
J21,21,202.4,-6,96,130,J,7,3,4,1,4000,0,1,0
J22,21,210.4,-6,100,131,J,7,3,4,1,4000,0,1,0
J23,21,218.4,-6,104,132,J,7,3,4,1,4000,0,1,0
J24,21,226.4,-6,108,133,J,7,3,4,1,4000,0,1,0
J25,21,234.4,-6,112,134,J,7,3,4,1,4000,0,1,0
J26,21,242.4,-6,116,135,J,7,3,4,1,4000,0,1,0
J27,21,250.4,-6,120,136,J,7,3,4,1,4000,0,1,0
J28,21,258.4,-6,124,137,J,7,3,4,1,4000,0,1,0
J29,21,266.4,-6,128,138,J,7,3,4,1,4000,0,1,0
J30,21,274.4,-6,132,139,J,7,3,4,1,4000,0,1,0
